OTU	F3D0_S188	F3D141_S207	F3D142_S208	F3D143_S209	F3D144_S210	F3D145_S211	F3D146_S212	F3D147_S213	F3D148_S214	F3D149_S215	F3D150_S216	F3D1_S189	F3D2_S190	F3D3_S191	F3D5_S193	F3D6_S194	F3D7_S195	F3D8_S196	F3D9_S197
249229 Desulfovibrio mexicanus	3	1	0	0	2	2	0	4	3	2	0	15	8	0	3	6	2	3	3
258553 Candidatus Methylacidiphilum	9	5	7	6	0	6	15	14	12	9	4	0	3	0	0	0	0	0	0
258659 Desulfosporosinus meridiei	0	2	0	0	2	1	2	0	2	2	1	3	8	1	5	3	1	2	5
258711 [Ruminococcus] gnavus	8	0	0	0	0	0	0	2	0	0	0	4	11	1	2	0	0	0	1
258745 Microbacterium aurum	3	0	1	0	0	0	0	0	0	0	0	5	0	0	0	1	0	3	2
259781 [Ruminococcus] gnavus	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	1	0	0	5
259985 Methylibium petroleiphilum	16	2	0	1	2	1	8	6	5	2	3	5	9	1	8	2	1	3	7
260088 [Ruminococcus] gnavus	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
260529 [Ruminococcus] gnavus	7	2	0	0	7	5	4	1	3	11	7	3	1	1	0	0	0	0	0
261798 Oscillatoria spongeliae	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
262193 Brachymonas denitrificans	44	3	4	1	1	0	5	20	5	11	5	49	141	12	49	52	15	52	97
262537 [Ruminococcus] gnavus	2	0	0	1	0	0	0	1	0	1	0	0	0	2	0	0	1	0	0
262540 Bosea genosp.	0	2	2	0	1	3	2	4	8	8	7	1	4	1	1	1	0	3	1
263138 [Ruminococcus] gnavus	1	26	5	7	4	4	8	25	20	67	46	3	1	0	0	1	0	0	1
263193 Pseudomonas pseudoalcaligenes	0	2	0	0	0	0	5	2	2	4	4	0	0	0	0	1	0	2	0
263327 [Ruminococcus] gnavus	4	0	1	0	1	0	8	8	2	4	2	5	9	2	4	4	0	3	5
263449 Erwinia chrysanthemi	72	19	6	12	16	14	21	9	8	40	27	67	75	7	40	47	9	31	40
263524 Ruminococcus flavefaciens	0	1	0	0	0	0	1	2	2	1	1	0	1	0	4	1	0	4	4
264063 Streptomyces aureofaciens	1	0	0	0	0	0	0	0	1	0	0	3	6	0	7	8	0	2	18
264702 Bacillus flexus	1	0	0	0	0	0	1	1	1	1	2	0	0	0	0	1	0	0	1
265983 Brachymonas chironomi	4	0	0	0	1	0	1	0	0	0	0	3	2	0	0	2	0	1	0
266186 Bacillus endophyticus	3	1	0	0	0	1	2	5	1	6	2	5	0	0	1	0	0	4	2
267105 [Ruminococcus] gnavus	18	0	0	0	0	0	0	3	0	0	0	17	16	1	7	3	0	0	0
267335 [Ruminococcus] gnavus	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
267730 Sulfuricurvum kujiense	0	2	0	0	0	0	1	3	0	1	5	0	0	0	1	2	2	3	11
268061 Sphingobacterium multivorum	2	0	2	1	0	0	4	3	0	2	2	2	1	0	2	3	0	3	5
268395 Dietzia timorensis	4	10	3	8	0	2	7	33	4	16	11	15	11	3	10	8	4	12	12
268463 Bartonella washoensis	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
268628 Brachymonas denitrificans	1	3	1	1	1	2	6	1	2	2	0	14	9	1	10	4	1	7	24
269774 Psychrobacter pulmonis	0	0	0	1	2	0	4	9	19	29	8	0	0	0	0	1	0	0	0
269890 Desulfovibrio D168	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
270081 [Ruminococcus] gnavus	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
270202 Muricola jejuensis	72	15	5	8	9	7	19	24	17	51	13	48	74	15	20	38	5	43	30
2704718 Gloeocapsopsis crepidinum	4	0	0	0	0	2	0	0	1	0	0	6	3	5	0	4	1	3	1
270758 [Ruminococcus] gnavus	0	0	0	0	0	0	1	1	0	1	1	0	1	0	0	0	0	0	0
270763 Pseudomonas viridiflava	38	5	0	1	0	1	5	7	5	18	3	33	97	13	0	2	1	2	2
271191 [Ruminococcus] gnavus	3	0	1	0	0	0	0	0	1	4	0	16	43	1	11	13	1	8	9
271782 Alloactinosynnema alba	9	1	14	8	4	1	0	24	6	16	14	26	61	12	9	74	21	27	30
272189 Pseudomonas viridiflava	13	0	6	3	4	4	12	15	6	10	4	13	29	4	1	6	2	4	8
272593 [Ruminococcus] gnavus	5	0	2	4	4	1	4	6	2	2	1	2	12	0	1	1	0	3	6
272907 [Ruminococcus] gnavus	1	1	1	0	0	0	1	1	1	1	1	3	5	0	1	3	3	2	14
2730947 Bacteroides barnesiae	51	10	14	15	14	17	21	33	82	34	28	23	76	14	106	63	27	52	66
273179 [Ruminococcus] gnavus	0	1	0	0	0	0	0	0	2	0	0	1	2	0	1	0	0	0	0
273232 Akkermansia muciniphila	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
273413 [Ruminococcus] gnavus	3	0	0	0	0	1	0	0	0	0	0	1	2	0	0	0	0	0	0
273601 Burkholderia gladioli	2	0	1	1	0	0	0	2	1	0	0	1	3	0	1	3	0	1	2
273647 Gluconacetobacter rhaeticus	21	7	12	7	8	8	8	36	8	28	18	25	39	3	17	23	13	22	46
273766 Veillonella parvula	2	0	0	0	2	1	3	0	0	2	2	6	7	0	1	6	1	2	7
273776 [Ruminococcus] gnavus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
274491 [Ruminococcus] gnavus	8	0	3	2	2	7	11	7	14	20	19	12	44	2	9	10	3	11	14
2748889 Veillonella dispar	3	1	0	0	0	0	0	0	0	0	0	1	2	0	0	1	0	0	0
275268 Brachymonas denitrificans	0	0	0	0	0	0	0	1	0	2	0	2	10	0	3	4	0	3	4
275651 Luteimonas mephitis	1	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	2	0
275708 Pseudomonas veronii	424	308	145	185	271	487	233	859	560	696	365	200	1121	425	263	560	407	327	457
276272 Serratia marcescens	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	2	0
276567 Staphylococcus equorum	2	0	0	0	1	1	1	1	0	0	2	5	10	0	2	3	3	7	1
276941 [Ruminococcus] gnavus	0	0	1	1	0	2	8	11	5	6	5	0	1	0	0	1	0	0	0
277184 [Ruminococcus] gnavus	0	1	0	0	0	0	1	0	0	1	1	0	1	0	0	3	0	1	0
277223 Pseudomonas viridiflava	2	0	0	0	0	0	0	0	0	0	0	6	3	0	0	1	0	6	3
277484 Flavobacterium succinicans	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0
278643 Stenotrophomonas maltophilia	3	0	0	1	1	0	6	0	1	2	3	1	8	0	2	0	0	4	2
2797563 [Ruminococcus] gnavus	0	6	0	1	2	3	1	2	2	8	0	0	1	0	0	1	0	0	2
285908 Janthinobacterium lividum	7	0	0	1	1	2	0	0	4	1	1	7	13	1	2	5	2	5	6
289622 Clostridium perfringens	82	5	3	2	4	8	1	15	19	7	4	0	1	0	0	0	0	0	0
289983 Prevotella copri	2	6	1	5	1	2	6	4	5	19	11	0	0	0	1	0	0	1	0
290799 Bacillus cereus	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
293077 Akkermansia muciniphila	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
301584 Fibrobacter succinogenes	5	7	0	1	2	1	9	11	15	32	14	71	55	11	49	23	6	16	29
303076 [Ruminococcus] gnavus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
304047 Bacteroides acidifaciens	0	0	0	0	0	0	0	0	2	1	0	0	1	1	0	1	1	0	2
3055791 Stenotrophomonas panacihumi	1	0	0	1	0	0	1	0	0	1	1	0	1	0	0	0	0	1	0
305992 Carnobacterium viridans	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	1
307376 [Ruminococcus] gnavus	0	0	0	0	1	1	8	12	7	28	18	0	0	0	0	0	0	0	0
307541 Bacteroides plebeius	18	14	11	12	22	32	11	45	29	31	21	14	54	35	10	29	20	14	20
308116 Bacteroides eggerthii	1	1	0	0	2	0	0	3	0	1	0	1	6	4	4	1	2	0	0
308224 [Ruminococcus] gnavus	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
310746 Bradyrhizobium elkanii	216	38	5	8	12	7	14	36	17	30	8	43	109	25	30	33	9	37	25
311039 Microbacterium maritypicum	18	2	0	0	2	2	6	4	2	4	2	17	30	3	2	6	0	1	2
311173 Helicobacter pullorum	0	2	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	1
312048 Faecalibacterium prausnitzii	11	4	1	2	3	5	7	8	17	12	4	2	24	5	20	16	9	15	30
313305 Leptospirillum ferrodiazotrophum	4	0	0	0	0	0	1	2	2	4	5	9	4	0	2	9	0	2	12
316549 Bacteroides uniformis	0	8	0	2	0	2	7	6	7	27	12	0	0	0	0	0	0	0	1
318047 Lactobacillus reuteri	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
318182 [Ruminococcus] gnavus	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1
319214 [Ruminococcus] gnavus	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
319238 Bradyrhizobium elkanii	9	0	0	0	0	0	1	2	3	1	0	3	7	0	1	2	1	5	6
320373 [Ruminococcus] gnavus	2	0	1	0	0	0	1	0	1	0	0	0	1	0	0	1	0	1	0
320841 Bacteroides acidifaciens	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
321972 Bacteroides acidifaciens	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
322094 Acinetobacter johnsonii	40	28	4	5	9	10	26	14	17	30	15	132	90	6	40	18	7	48	84
322737 Lactobacillus agilis	0	0	0	0	1	0	1	6	1	0	1	0	1	0	0	5	1	0	0
322904 [Ruminococcus] gnavus	8	0	0	0	0	0	0	3	5	3	1	2	9	2	1	2	1	3	0
323557 Faecalibacterium prausnitzii	4	0	0	0	0	0	0	0	0	0	0	1	2	1	0	1	0	0	2
323619 Prevotella copri	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
3245667 Vitis vinifera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
325729 Bacteroides acidifaciens	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
327852 Lactobacillus reuteri	1	0	0	0	1	2	0	3	0	1	0	0	0	2	0	0	0	1	0
328755 Pleomorphomonas oryzae	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3
329660 Lactobacillus reuteri	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
332301 Tatumella morbirosei	0	0	0	0	0	0	4	1	0	1	1	0	0	0	1	1	0	0	2
333684 Lactobacillus reuteri	0	2	0	2	4	3	0	3	6	6	0	2	0	1	0	0	0	0	1
334742 Bacillus muralis	7	1	1	0	2	1	10	7	7	11	7	4	7	0	3	12	0	5	7
335167 Bacteroides acidifaciens	6	23	2	9	11	10	10	41	19	52	43	12	86	13	29	28	9	22	28
335523 Bacteroides ovatus	9	6	21	11	14	23	12	54	35	31	14	6	23	32	8	35	38	18	32
336731 Cupriavidus gilardii	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	1
338852 Lactobacillus reuteri	28	35	3	8	30	26	12	117	77	116	16	40	27	100	6	23	32	92	20
338916 Rhizobium giardinii	0	2	0	0	0	1	1	2	1	0	1	4	2	2	1	1	0	1	2
339092 [Ruminococcus] gnavus	0	0	0	0	0	1	10	7	8	5	3	0	0	0	17	9	3	21	29
3392853 [Ruminococcus] gnavus	1	0	0	1	1	2	0	2	5	0	0	1	1	0	1	2	1	1	1
339350 Clostridium hiranonis	6	8	0	1	0	2	3	0	1	16	8	20	17	2	1	3	2	6	2
340133 Acinetobacter johnsonii	0	3	1	0	0	3	8	5	3	3	5	0	1	0	18	11	1	16	24
3401807 [Ruminococcus] gnavus	0	0	0	0	0	1	1	1	1	4	2	1	0	0	2	1	0	1	0
340525 [Clostridium] glycolicum	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
340644 Desulfovibrio mexicanus	0	1	0	0	1	2	1	0	2	1	0	0	1	0	0	0	0	0	0
340716 Vibrio splendidus	2	0	0	0	0	1	0	5	0	0	0	0	0	0	0	0	0	0	0
342072 Sphingobium xenophagum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
342403 Ruminococcus flavefaciens	2	0	0	0	0	1	1	0	2	3	0	0	4	1	2	1	0	1	2
344398 Bacteroides plebeius	87	29	9	7	10	13	24	64	44	37	19	289	344	47	78	51	35	43	92
344525 Bacteroides eggerthii	2	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0
345038 Helicobacter equorum	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	2
347156 Acinetobacter johnsonii	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
348772 [Ruminococcus] gnavus	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
350391 Acinetobacter johnsonii	60	5	4	2	2	8	8	8	9	36	9	45	143	11	11	26	7	41	22
352445 [Ruminococcus] gnavus	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
353340 Bradyrhizobium elkanii	0	1	0	1	0	0	0	2	1	3	5	1	6	1	2	3	0	2	3
355262 Bacteroides ovatus	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0
356403 Clostridium hiranonis	5	0	0	2	0	0	2	1	0	1	1	17	30	1	5	13	1	7	8
356568 Methylotenera mobilis	1	0	0	0	0	0	0	0	1	0	0	1	6	0	1	2	0	0	2
356625 Prevotella copri	1	6	2	3	4	2	3	1	10	16	2	0	2	0	2	3	4	9	14
356655 Lactobacillus plantarum	4	15	3	9	2	3	7	2	18	28	22	2	6	0	6	2	1	2	4
35880 Pseudomonas veronii	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
3606814 Cocculus trilobus	2	0	0	0	0	1	0	0	1	0	0	6	29	2	0	20	9	22	18
363436 [Ruminococcus] gnavus	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
364334 Akkermansia muciniphila	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
365331 Akkermansia muciniphila	8	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0
3694686 Parabacteroides distasonis	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
3696710 Blautia producta	0	0	0	0	0	0	0	0	0	0	0	2	4	2	1	0	1	1	2
372096 Staphylococcus epidermidis	4	0	0	0	0	0	2	2	0	0	0	1	5	0	0	0	0	0	1
383971 [Ruminococcus] gnavus	2	1	0	0	1	1	2	1	2	0	0	2	0	0	1	0	0	1	2
391286 Stenotrophomonas maltophilia	0	0	3	1	1	0	0	2	5	2	0	0	0	0	0	0	0	0	0
3998428 Propionibacterium acnes	0	1	0	0	0	0	0	1	2	0	0	0	0	1	0	0	2	0	2
411486 Lactobacillus reuteri	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
4115286 Bifidobacterium pseudolongum	3	1	2	1	2	0	0	1	9	2	0	0	0	0	0	0	0	0	0
422910 Simplicispira limi	38	7	72	29	8	16	4	110	11	57	40	82	235	69	38	305	78	102	132
428705 Staphylococcus equorum	12	1	3	6	2	5	13	14	7	6	3	10	29	0	10	8	1	13	20
430096 Acinetobacter johnsonii	0	0	0	0	0	0	1	2	1	1	1	0	1	0	0	0	0	0	0
